א,"unkn0102-1, jeru0492-5, jord0001-419",א,X,w-א,UNSPECIFIED UNSPECIFIED UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
במקדש,mger0150-11,מִקְדָּשׁ,NOUN,w-במקדש,1-PreLets PRE_PREPOSITIONAL PRE_DEFSTATUS_DEFINITE NOUN MASCULINE SINGULAR ABSOLUTE UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,temple,,,
בן,"beth0227-17, beth0228-5, jeru0435-2, beth0258-2, jaff0057-2, masa0429-1, beth0237-9, caes0518-4, masa0406-1, jeru0355-1, masa0430-1, beth0259-4, jeru0354-1, jeru0365-1, beth0238-5, erra0001-2, akld0021-2, haif0010-3, qumr0001-7, juda0001-2, mger0150-4, jeru0353-1, masa0407-1, shap0003-2, erra0002-2, qumr0001-9, shap0002-2, jeru0413-2, beth0248-11, qumr0002-6, masa0437-1, beth0227-5, anna0004-2, masa0435-1, jeru0490-2, masa0472-1, anna0003-2, mtsc0001-2, jeru0303-13, beth0246-10, jeru0381-2, masa0466-2, jaff0054-6",בֵּן,NOUN,w-בן,NOUN MASCULINE SINGULAR ABSOLUTE UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,y,son,,,,,,,,,,,,,,,,,
בנ,,בֵּן,NOUN,w-בנ,PROPERNAME MASCULINE SINGULAR UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,y,son,,,,,,,,,,,,,,,,,
בנו,"beth0248-6, beth0244-9, beth0237-22, beth0250-6",בֵּן,NOUN,w-בנו,NOUN MASCULINE SINGULAR ABSOLUTE UNSPECIFIED SUF_PRONOMINAL SUF_TYPE_POSSESSIVE SUF_MASCULINE SUF_SINGULAR SUF_PERSON_3,,,,,,,,,,,,,,,y,son,,,,,,,,,,,,,,,,,
בנותיה,beth0243-8,בַּת,NOUN,w-בנותיה,NOUN FEMININE PLURAL ABSOLUTE UNSPECIFIED SUF_PRONOMINAL SUF_TYPE_POSSESSIVE SUF_FEMININE SUF_SINGULAR SUF_PERSON_3,,,,,,,,,,,,,,,y,daughter,,,,,,,,,,,,,,,,,
בני,"jeru0303-17, jord0001-15, huqo0001-3, jord0001-382, jeru0303-11",בֵּן,NOUN,w-בני,NOUN MASCULINE PLURAL ABSOLUTE UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,y,son,,,,,,,,,,,,,,,,,
בניאיר,,,,w-בניאיר,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
בניו,"beth0239-11, qumr0002-8, mger0150-8, beth0244-5",בֵּן,NOUN,w-בניו,NOUN MASCULINE PLURAL ABSOLUTE UNSPECIFIED SUF_PRONOMINAL SUF_TYPE_POSSESSIVE SUF_MASCULINE SUF_SINGULAR SUF_PERSON_3,,,,,,,,,,,,,,,y,son,,,,,,,,,,,,,,,,,
בנסד,,,,w-בנסד,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
בנת,jeru0450-1,בת,NOUN,w-בנת,VERB MASCULINE SINGULAR PERSON_2 PAST UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,y,daughter,,,,,,,,,,,,,,,,,
